500 strong,https://www.linkedin.com/posts/girlsleadingtech_were-now-500-strong-were-thrilled-activity-7265644429523263488-0l6f?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
coffee chat 1,https://www.linkedin.com/posts/girlsleadingtech_we-had-an-insightful-coffee-chat-on-networking-activity-7266851216733675520-6wmg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
most active attendee,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-ritika-sharma-for-being-activity-7269710920946192384-P_0T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
most active attendee - jigisha arora,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-ishita-soni-vanshika-activity-7270440446378553344-rKcF?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
mac - gsoc ,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-vanshika-sabharwal-for-activity-7272666315650162690-5cez?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - divina ,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-harshita-shringi-for-being-activity-7273390116201500674-VwSY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - radhika ,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-adyasha-das-for-being-activity-7273740845328080896-4wHR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - outreachy ,https://www.linkedin.com/posts/girlsleadingtech_shoutout-to-aditi-chaudhary-for-being-the-activity-7289657458015252481-a8S7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa- resume ,https://www.linkedin.com/posts/girlsleadingtech_shoutout-to-kanishka-patil-for-bringing-the-activity-7295400350621044736-kK6X?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-catherine-and-samridhi-activity-7316257936664629250-fHkp?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - linkedin coachin,https://www.linkedin.com/posts/girlsleadingtech_a-huge-shoutout-to-sweta-sharma-for-being-activity-7284981286882996225-CNd-?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - ux,https://www.linkedin.com/posts/girlsleadingtech_shoutout-to-siddhi-nagapure-for-bringing-activity-7295394315172818944-lVVz?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-divya-for-winning-the-activity-7337794653993226240-ekiI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa,https://www.linkedin.com/posts/girlsleadingtech_shoutout-to-misha-parekh-for-bringing-the-activity-7292239705910263808--WkW?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-shinu-verma-for-becoming-activity-7340633163053899777-szTk?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - sashi,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-divanshi-arora-bhuvanashree-activity-7444949910266953728-iY_P?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
maa - linkedin ,"https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-vijay-laxmi-for-becoming-activity-7279191533063430144-BsLT?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4

https://www.linkedin.com/posts/girlsleadingtech_thanks-sunjin-jung-for-attending-our-linkedin-activity-7279192680914436097-6Lfa?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4",,
join us ,https://www.linkedin.com/posts/girlsleadingtech_join-us-now-to-unlock-the-door-which-can-activity-7273307365590888448-0Jqv?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
opportuniteis ,https://www.linkedin.com/posts/girlsleadingtech_opportunities-for-3rd-yr-college-girls-activity-7274717533771808768-tEI5?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
opportunitites,https://www.linkedin.com/posts/girlsleadingtech_opportunities-for-2nd-yr-college-girls-activity-7274720417037131776-spZX?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
1k on,https://www.linkedin.com/posts/girlsleadingtech_its-celebration-time-we-got-1k-followers-activity-7274790099798646784-5xOI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
opportunities,https://www.linkedin.com/posts/girlsleadingtech_opportunities-available-for-1st-2nd-3rd-activity-7275175952635109377-a2EQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
christmas ,https://www.linkedin.com/posts/girlsleadingtech_ho-ho-homerry-christmas-magical-girls-activity-7277619573753856000-dJfn?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
1000 strong ,https://www.linkedin.com/posts/girlsleadingtech_on-the-occasion-of-the-new-year-we-are-super-activity-7279933619920363520-gXZE?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
new logo,https://www.linkedin.com/posts/girlsleadingtech_after-trying-numerous-ideas-drafts-and-activity-7281315638772486144-NjJh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
volunteers ,https://www.linkedin.com/posts/girlsleadingtech_if-you-want-to-support-the-girls-and-build-activity-7289246708805341184-xHXU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
valentine week announcement ,https://www.linkedin.com/posts/girlsleadingtech_why-third-wheel-when-you-can-lead-join-our-activity-7293641912274628609-jhez?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
empower announcemnt,https://www.linkedin.com/posts/girlsleadingtech_imagine-a-world-where-every-girl-feels-heard-activity-7301637191452045312-tJKa?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
empowerher queen,https://www.linkedin.com/posts/girlsleadingtech_congratulations-catherine-infanta-a-on-emerging-activity-7305996848509435904-1gnG?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
coffee chat,https://www.linkedin.com/posts/girlsleadingtech_we-hosted-a-no-agenda-coffee-chat-today-activity-7314632946370453504-uDB1?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
mca ,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-prerna-for-becoming-the-activity-7314884111305752577-C1dS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
appreciatoin,https://www.linkedin.com/posts/girlsleadingtech_shoutout-to-our-community-stars-were-activity-7317083269206888448-7hhT?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
newsletter ,https://www.linkedin.com/posts/girlsleadingtech_our-1st-newsletter-is-out-go-and-check-activity-7335350709657227265-awte?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
2000 strong,https://www.linkedin.com/posts/girlsleadingtech_its-celebration-time-we-are-now-2000-girls-activity-7339661921874341888-QsQu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
1st tweeter soace ,https://www.linkedin.com/posts/girlsleadingtech_we-hosted-our-first-twitter-space-and-it-activity-7341144619386081282-5Tzu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
ml cohoer pre registraion,https://www.linkedin.com/posts/girlsleadingtech_calling-all-girls-interested-in-amazon-ml-activity-7342959915210088449-1HAy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
cyber talks - https://www.linkedin.com/posts/girlsleadingtech_we-had-an-eye-opening-twitter-space-cyber-activity-7344777067072208896-SAQK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,,
3000 strong,https://www.linkedin.com/posts/girlsleadingtech_congratulations-to-us-we-become-3k-girls-activity-7357766316264472576-GWU3?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
canva premium,https://www.linkedin.com/posts/girlsleadingtech_to-celebrate-3000-girls-strong-in-our-community-activity-7359272057336983553-WSY_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
week 2,https://www.linkedin.com/posts/girlsleadingtech_girlsleadingtech-amazonmlcohort-machinelearning-activity-7361731265630232577-eFm1?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
week 1,https://www.linkedin.com/posts/girlsleadingtech_girlsleadingtech-amazonmlcohort-machinelearning-activity-7361735575906762753-gpcU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
sow seed ,https://www.linkedin.com/posts/girlsleadingtech_sustainability-womenintech-communityimpact-activity-7365336308874948608-RG_g?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,testimonials from our members
,,,achievements
,,,impact of our community on them
,,,valuable chats/perspective from the archive chats
,,,featuring the most active attendees
,,,featuring the members who contributed in the community for their efforts.
,,,"just dont feature the event/initiative, but add the story behind it as well."
,,,make the wall of our community - those will be added who wants to get featured.
,,,feature all the colleges from where we have our members
,,,states from where we have our members
,,,
,,,
,,,community partnership ke liye ek hard rulebook.